# 频道列表格式说明：
# 1. 国家行：单独一行，格式为"国家名称+国家代码"（如"英国UK"、"中国CN"）
# 2. 频道行：位于国家行下方，格式为"tvg-id,tvg-name,备注"
# 3. #开头为注释，空行自动忽略
# 提示：tvg-id和tvg-name需从原始EPG中复制准确值


中国CN
SkySpCricket HD.uk,SkySpCricket HD.uk,Sky Sports Cricket
SkySpMainEvHD.uk,SkySpMainEvHD.uk,Sky Sports Main Event
Racing TV HD.uk,Racing TV HD.uk,Racing TV
Eurosport 2.uk,Eurosport 2.uk,Eurosport 2
MUTV HD.uk,MUTV HD.uk,MUTV
LFCTV HD.uk,LFCTV HD.uk,LFCTV
Sky Cinema Comedy HD.uk,Sky Cinema Comedy HD.uk,Sky Cinema Comedy
Sky Cinema Family HD.uk,Sky Cinema Family HD.uk,Sky Cinema Family
Sky Cinema Action HD.uk,Sky Cinema Action HD.uk,Sky Cinema Action
Sky Cinema Animation.uk,Sky Cinema Animation.uk,Sky Cinema Animation
GREAT! movies.uk,GREAT! movies.uk,GREAT! movies
Cartoon Net HD.uk,Cartoon Net HD.uk,Cartoon Network
BBC News HD.uk,BBC News HD.uk,BBC News
BBC One Lon HD.uk,BBC One Lon HD.uk,BBC One
BBC Two HD.uk,BBC Two HD.uk,BBC Two
BBC Three HD.uk,BBC Three HD.uk,BBC Three
BBC Four HD.uk,BBC Four HD.uk,BBC Four
BBC RB 1 HD.uk,BBC RB 1 HD.uk,BBC Red Button
ITV1 HD.uk,ITV1 HD.uk,ITV1
ITV2 HD.uk,ITV2 HD.uk,ITV2
ITV3 HD.uk,ITV3 HD.uk,ITV3
ITV4 HD.uk,ITV4 HD.uk,ITV4


爱尔兰IE
Premier Sports 1.ie,Premier Sports 1.ie,Premier Sports 1
Premier Sports 2.ie,Premier Sports 2.ie,Premier Sports 2

美国US
464754,beIN Sports USA HD,beIN Sports USA
465236,Tennis Channel HD,Tennis Channel
464783,Golf Channel HD,Golf Channel
465239,MLB Network HD,MLB Network
465311,NFL Network HD,NFL Network
465401,NFL RedZone HD,NFL RedZone
465344,WWE Network,WWE
465010,Willow Cricket HD,Willow Cricket
465022,Willow Xtra,Willow Extra
465198,ESPN HD,ESPN
465373,ESPN2 HD,ESPN 2
465410,ESPNEWS HD,ESP NEWS
465108,ESPNU HD,ESPN U
464949,ESPN Deportes HD,ESPN Deportes
465154,Fight Network,Fight Network
464937,CBS Sports Network HD,CBS Sports Network
465248,FS1 HD,FS1 Fox Sports 1
465280,FS2 HD,FS2 Fox Sports 2
465214,Fox Soccer Plus HD,Fox Soccer Plus
465156,Fox Deportes HD,Fox Deportes
465348,NHL Network HD,NHL Network
465358,World Fishing Network HD (US),World Fishing Network
464879,ACC Network,ACC Network
465225,New England Sports Network HD,NESN
464779,NBC Sports 4K,NBC Sports
465058,CHSN Chicago Sports Network,Chicago Sports Network
465010,Willow Cricket HD,Willow Cricket
464912,NBA TV HD,NBA TV
465174,TUDN,TUDN
408644,Fubo Sports Network [US],Fubo Sports

465032,AMC HD,AMC
465249,HBO (Pacific),HBO
464745,HBO East,HBO East
465302,HBO West,HBO West
465146,HBO2 (Pacific),HBO2
465104,HBO Zone HD,HBO Zone
464953,HBO Comedy HD,HBO Comedy
465279,HBO Signature HD,HBO Signature
464917,Cinemax HD,Cinemax East
465388,Cinemax (Pacific),Cinemax West
465147,5 StarMAX HD East,5 StarMAX East
465138,SundanceTV HD,SundanceTV
465364,Discovery Channel HD,Discovery Channel
464838,Discovery Life Channel,Discovery Life
465372,Fox News Channel HD,Fox News
464791,CNBC HD,CNBC
465329,UNIVERSO HD,NBC UNIVERSO
465018,ReelzChannel HD,Reelz Channel
464956,ScreenPix,ScreenPix
464775,ScreenPix Action,ScreenPix Action
464869,ScreenPix Westerns,ScreenPix Westerns

beIN Sport USA HD.us,beIN Sport USA HD.us,beIN Sport USA
beIN Sports (English).us,beIN Sports (English).us,beIN Sports English
ESPN HD.us,ESPN HD.us,ESPN
ESPN2 HD.us,ESPN2 HD.us,ESPN2
ESPN News HD.us,ESPN News HD.us,ESPN News
ESPN U HD.us,ESPN U HD.us,ESPN U
ESPN Deportes HD.us,ESPN Deportes HD.us,ESPN Deportes
CBS Sports Network USA HD.us,CBS Sports Network USA HD.us,CBS Sports Network
Fox Sports 1 HD.us,Fox Sports 1 HD.us,Fox Sports 1
Fox Sports 2 HD.us,Fox Sports 2 HD.us,Fox Sports 2
FOX Soccer Plus HD.us,FOX Soccer Plus HD.us,FOX Soccer Plus
Fox Deportes HD.us,Fox Deportes HD.us,Fox Deportes
